[Heroes Archive] (Data_23_newyear01)


Heroes Message Name: Message


MID_MISSION_M201801A_TITLE: １月任務Ａ
MID_MISSION_M201801A_A1: 以綠屬性擊敗
MID_MISSION_H_M201801A_A1: 以綠屬性的我方擊敗敵人。
MID_MISSION_M201801A_A2: 以騎馬擊敗
MID_MISSION_H_M201801A_A2: 以騎馬的我方擊敗敵人。
MID_MISSION_M201801A_A3: 擊敗赤屬性
MID_MISSION_H_M201801A_A3: 擊敗赤屬性的敵人。
MID_MISSION_M201801A_A4: 擊敗步行
MID_MISSION_H_M201801A_A4: 擊敗步行的敵人。
MID_MISSION_M201801A_A5: 在鬥技場獲勝
MID_MISSION_H_M201801A_A5: 在鬥技場獲勝。
MID_MISSION_M201801A_A6: 以青屬性擊敗LV20以上
MID_MISSION_H_M201801A_A6: 以青屬性的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201801A_A7: 以步行擊敗LV20以上
MID_MISSION_H_M201801A_A7: 以步行的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201801A_A8: 擊敗LV20以上的綠屬性
MID_MISSION_H_M201801A_A8: 擊敗等級20以上的綠屬性敵人。
MID_MISSION_M201801A_A9: 擊敗LV20以上的騎馬
MID_MISSION_H_M201801A_A9: 擊敗等級20以上的騎馬敵人。
MID_MISSION_M201801A_A10: 在鬥技場(中級以上)獲勝
MID_MISSION_H_M201801A_A10: 在鬥技場(中級以上)獲勝。
MID_MISSION_M201801A_A11: 以赤屬性擊敗LV35以上
MID_MISSION_H_M201801A_A11: 以赤屬性的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201801A_A12: 以飛行擊敗LV35以上
MID_MISSION_H_M201801A_A12: 以飛行的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201801A_A13: 擊敗LV35以上的青屬性
MID_MISSION_H_M201801A_A13: 擊敗等級35以上的青屬性敵人。
MID_MISSION_M201801A_A14: 擊敗LV35以上的飛行
MID_MISSION_H_M201801A_A14: 擊敗等級35以上的飛行敵人。
MID_MISSION_M201801A_A15: 在鬥技場(上級)獲勝
MID_MISSION_H_M201801A_A15: 在鬥技場(上級)獲勝。
MID_MISSION_M201801B_TITLE: １月任務Ｂ
MID_MISSION_M201801B_A1: 特殊：突破修練之塔・第1層
MID_MISSION_H_M201801B_A1: 在4人皆生存的狀態下\n過關修練之塔・第1層。
MID_MISSION_M201801B_A2: 特殊：突破修練之塔・第2層
MID_MISSION_H_M201801B_A2: 在4人皆生存的狀態下\n過關修練之塔・第2層。
MID_MISSION_M201801B_A3: 特殊：突破修練之塔・第3層
MID_MISSION_H_M201801B_A3: 在4人皆生存的狀態下\n過關修練之塔・第3層。
MID_MISSION_M201801B_A4: 特殊：突破修練之塔・第4層
MID_MISSION_H_M201801B_A4: 在4人皆生存的狀態下\n過關修練之塔・第4層。
MID_MISSION_M201801B_A5: 特殊：突破修練之塔・第5層
MID_MISSION_H_M201801B_A5: 在4人皆生存的狀態下\n過關修練之塔・第5層。
MID_MISSION_M201801B_A6: 特殊：突破修練之塔・第6層
MID_MISSION_H_M201801B_A6: 在4人皆生存的狀態下\n過關修練之塔・第6層。
MID_MISSION_M201801B_A7: 特殊：突破修練之塔・第7層
MID_MISSION_H_M201801B_A7: 在4人皆生存的狀態下\n過關修練之塔・第7層。
MID_MISSION_M201801B_A8: 特殊：突破修練之塔・第8層
MID_MISSION_H_M201801B_A8: 在4人皆生存的狀態下\n過關修練之塔・第8層。
MID_MISSION_M201801B_A9: 特殊：突破修練之塔・第9層
MID_MISSION_H_M201801B_A9: 在4人皆生存的狀態下\n過關修練之塔・第9層。
MID_MISSION_M201801B_A10: 特殊：突破修練之塔・第10層
MID_MISSION_H_M201801B_A10: 在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201801B_A11: 特殊：突破修練之塔・第10層
MID_MISSION_H_M201801B_A11: 我軍全員為步行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201801B_A12: 特殊：突破修練之塔・第10層
MID_MISSION_H_M201801B_A12: 我軍全員為重裝，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201801B_A13: 特殊：突破修練之塔・第10層
MID_MISSION_H_M201801B_A13: 我軍全員為騎馬，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201801B_A14: 特殊：突破修練之塔・第10層
MID_MISSION_H_M201801B_A14: 我軍全員為飛行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201801C_TITLE: １月任務Ｃ
MID_MISSION_M201801C_A1: 特殊:突破第5章-第1節
MID_MISSION_H_M201801C_A1: 在4人皆生存的狀態下\n過關第5章-第1節。
MID_MISSION_M201801C_A2: 特殊:突破第5章-第2節
MID_MISSION_H_M201801C_A2: 我軍内有赤屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第2節。
MID_MISSION_M201801C_A3: 特殊:突破第5章-第3節
MID_MISSION_H_M201801C_A3: 我軍内有青屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第3節。
MID_MISSION_M201801C_A4: 特殊:突破第5章-第4節
MID_MISSION_H_M201801C_A4: 我軍内有綠屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第4節。
MID_MISSION_M201801C_A5: 特殊:突破第5章-第5節
MID_MISSION_H_M201801C_A5: 我軍内有無屬性成員，\n且在4人皆生存的狀態下\n過關第5章-第5節。
MID_MISSION_M201801C_A6: 特殊:突破第8章-第1節(困難)
MID_MISSION_H_M201801C_A6: 在4人皆生存的狀態下\n過關第8章-第1節(困難以上)。
MID_MISSION_M201801C_A7: 特殊:突破第8章-第2節(困難)
MID_MISSION_H_M201801C_A7: 我軍内有赤屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第2節(困難以上)。
MID_MISSION_M201801C_A8: 特殊:突破第8章-第3節(困難)
MID_MISSION_H_M201801C_A8: 我軍内有青屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第3節(困難以上)。
MID_MISSION_M201801C_A9: 特殊:突破第8章-第4節(困難)
MID_MISSION_H_M201801C_A9: 我軍内有綠屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第4節(困難以上)。
MID_MISSION_M201801C_A10: 特殊:突破第8章-第5節(困難)
MID_MISSION_H_M201801C_A10: 我軍内有無屬性成員，\n且在4人皆生存的狀態下\n過關第8章-第5節(困難以上)。
MID_MISSION_M201801C_A11: 特殊:突破第11章-第1節(超難)
MID_MISSION_H_M201801C_A11: 在4人皆生存的狀態下\n過關第11章-第1節(超難)。
MID_MISSION_M201801C_A12: 特殊:突破第11章-第2節(超難)
MID_MISSION_H_M201801C_A12: 我軍内有赤屬性成員，\n且在4人皆生存的狀態下\n過關第11章-第2節(超難)。
MID_MISSION_M201801C_A13: 特殊:突破第11章-第3節(超難)
MID_MISSION_H_M201801C_A13: 我軍内有青屬性成員，\n且在4人皆生存的狀態下\n過關第11章-第3節(超難)。
MID_MISSION_M201801C_A14: 特殊:突破第11章-第4節(超難)
MID_MISSION_H_M201801C_A14: 我軍内有綠屬性成員，\n且在4人皆生存的狀態下\n過關第11章-第4節(超難)。
MID_MISSION_M201801C_A15: 特殊:突破第11章-第5節(超難)
MID_MISSION_H_M201801C_A15: 我軍内有無屬性成員，\n且在4人皆生存的狀態下\n過關第11章-第5節(超難)。
MID_MISSION_S2018NEWYEAR01_TITLE: New Year
MID_MISSION_S2018NEWYEAR01_A1: 擊敗敵人
MID_MISSION_H_S2018NEWYEAR01_A1: 擊敗敵人。
MID_MISSION_S2018NEWYEAR01_A2: 在縛鎖鬥技場獲勝
MID_MISSION_H_S2018NEWYEAR01_A2: 在縛鎖鬥技場獲勝。
MID_MISSION_S201712SENKA02_DAILY_TITLE: 戰渦連戰
