[Heroes Archive] (HINATA)


Heroes Message Name: Message


MID_HINATA_HOME1: 好閒啊。真想去踢館……\n更正，是上門求教。\n畢竟特務機關的人感覺都挺強的嘛。
MID_HINATA_HOME2: 我是拓海殿下的部下，\n只要是為了守護殿下，\n我死不足惜。
MID_HINATA_HOME3: 喔喔，你在巡邏啊？辛苦啦！\n若不嫌棄的話，我隨時都能幫忙，\n有需要時儘管跟我說一聲吧！
MID_HINATA_HOME4: $Nu，你有空嗎？\n那就陪我一起鍛鍊吧！\n只要揮揮刀，就能甩去心中的陰霾喔！
MID_HINATA_HOME5: 我剛剛跟一位漂亮美女買了青菜。\n……價錢太高了？我才沒當冤大頭呢。\n因為美女是不會做壞事的啊！
MID_HINATA_FRIEND: 喔喔，是$Nu啊？\n$Nf要我向你致意。\n他好像想跟你和睦相處喔。
MID_HINATA_LEVEL1: 真想向大家\n炫耀一番啊。
MID_HINATA_LEVEL2: 我還會繼續變強！
MID_HINATA_LEVEL3: 真希望能變得\n更強一點啊。
MID_HINATA_SKILL: 就用這股力量\n大鬧一場吧！
MID_HINATA_JOIN: 我是白夜王國的武士，名叫日向！\n不管在哪裡，我都不會疏於練刀喔。\n仔細見識我的刀法吧！
MID_HINATA_STRONGEST: 喔喔，$Nu！\n多謝你總是帶我出征！\n托你的福，我最近又變得更強了！$k$p老實說，我一開始只想著要早點回去。\n因為這個世界跟白夜不一樣，沒有道場，\n也沒有好吃的味噌湯跟煎蛋捲啊。$k$p不過，我現在超喜歡這裡的，\n畢竟我原本就喜歡新奇的事物，\n人生就該懂得享受，要不然就虧大了！$k$p再說，身為拓海殿下的護衛……\n能跟各個世界的強者戰鬥，\n一定也是非常好的經驗。$k$p當然，我也會用這把刀\n好好保護你喔！\n今後也儘管包在本大爺身上！\n
MID_HINATA_VOICE01: 看招！
MID_HINATA_VOICE02: 喝啊！
MID_HINATA_VOICE03: 嗚哇！
MID_HINATA_VOICE04: 可惡……！
MID_HINATA_VOICE05: 別得意忘形！
MID_HINATA_VOICE06: 做好覺悟了嗎？
MID_HINATA_VOICE07: 我要親手……斬了你。
MID_HINATA_VOICE08: 喔喔，怎麼啦！？
MID_HINATA_VOICE09: 可惡……！
MID_HINATA_VOICE10: 哈哈！
MID_HINATA_VOICE11: 嘿嘿，別看我這樣，我的本事很高強喔！
MID_HINATA_VOICE12: 服裝儀容？只要不髒就行了吧？
MID_HINATA_VOICE13: 這裡的草原還真多啊！
MID_HINATA_VOICE14: 拚命鍛鍊……這就是我的信念。
MID_HINATA_VOICE15: 我的刀只為一位主君而戰。
MID_HINATA_VOICE16: 拓海殿下在哪裡？我得好好保護他才行呢！
MID_HINATA_VOICE17: 放心吧！由我來守護你！\n儘管交給本大爺！
MID_HINATA_VOICE18: 沒問題。
MID_HINATA_VOICE19: 上啊～！
MID_HINATA_VOICE20: 你打算怎麼做？
