[Heroes Archive] (LAGARTO)


Heroes Message Name: Message


MID_LAGARTO_HOME1: 這裡真是個好地方。\n最棒的一點莫過於不用再從事老本行了。
MID_LAGARTO_HOME2: 【黑牙】原本是懲奸除惡的義賊組織……\n但在那傢伙加入之後，一切都變了樣。
MID_LAGARTO_HOME3: 喔，是$Nu啊。\n一如往常在巡邏嗎？\n可別忘了讓自己休息一下喔。
MID_LAGARTO_HOME4: 嗨，要不要來這邊悠閒休息一下啊？\n在這邊不用擔心吃住問題，\n真的是太棒了。
MID_LAGARTO_HOME5: 所謂的暗殺者，基本上都不強。\n所以才會耍點小手段……\n你最好對這方面多注意點。
MID_LAGARTO_FRIEND: 嗨，不好意思從背後打擾你。\n我替$Nf\n來打聲招呼。
MID_LAGARTO_LEVEL1: 【疾風】的名號可不是叫假的。
MID_LAGARTO_LEVEL2: 看來我的本領還沒退步嘛。
MID_LAGARTO_LEVEL3: 本事不勝當年了呢……
MID_LAGARTO_SKILL: 你很期待我的表現啊？\n那我就適度地加點油吧。
MID_LAGARTO_JOIN: 我的名字叫拉加爾托，是個小氣的盜賊。\n能不能滿足你的期待就先不談，\n我會在不丟掉小命的前提下協助你的。
MID_LAGARTO_STRONGEST: 嗨，$Nu，\n今天一整天也辛苦你啦。\n至於我嘛，還算過得去。$k$p別看我現在這樣，\n其實剛開始我可是怕得要命喔。$k$p畢竟我實在無法想像，\n到底是有多邪惡的組織才會召喚我、\n邀請我這種人加入並戰鬥。$k$p不過，大家都一起奮鬥到現在了，\n我當然很清楚你跟這裡的人們\n都不是什麼壞傢伙。$k$p更重要的是，這裡的氣氛很棒。\n跟我記憶中……那段時光非常相似。$k$p所以，你只要照現在這樣筆直往前就好。\n我可不想再見到原本好好的事物\n變質走樣的景象了。
MID_LAGARTO_VOICE01: 小心囉！
MID_LAGARTO_VOICE02: 抱歉啦。
MID_LAGARTO_VOICE03: 嗚啊啊！
MID_LAGARTO_VOICE04: 這下不太妙……
MID_LAGARTO_VOICE05: 讓我來收拾你。
MID_LAGARTO_VOICE06: 雖是無趣取巧的手段……
MID_LAGARTO_VOICE07: 你現在感覺如何？
MID_LAGARTO_VOICE08: 我在這邊。
MID_LAGARTO_VOICE09: あいつらに…会いに行くとするか…
MID_LAGARTO_VOICE10: ははっ
MID_LAGARTO_VOICE11: ラガルトだ。元・【黒い牙】…今はしがない盗賊ってやつさ。
MID_LAGARTO_VOICE12: なんだ、えらくオレに興味があるんだな。ほれたかい？
MID_LAGARTO_VOICE13: 誤解するなよ。暗殺者ってのは、弱い人間なんだ。
MID_LAGARTO_VOICE14: まともな手段じゃ勝てねえから、くだらねえ小細工するのさ。
MID_LAGARTO_VOICE15: 不意打ちに毒に人質…オレの知ってる戦い方はそんなもんさ。
MID_LAGARTO_VOICE16: 暗殺なんざほめられた仕事じゃないが…それでも、オレたちなりの誇りがあった。
MID_LAGARTO_VOICE17: オレがあんたといる理由…？　まあ、いわゆる愛ってやつかね。
MID_LAGARTO_VOICE18: いいぜ
MID_LAGARTO_VOICE19: ん？
MID_LAGARTO_VOICE20: 誰からやる？
