[Heroes Archive] (BRUNO)


Heroes Message Name: Message


MID_BRUNO_VOICE01: ふんっ
MID_BRUNO_VOICE02: せいっ
MID_BRUNO_VOICE03: ぐあっ…！
MID_BRUNO_VOICE04: これほどか…
MID_BRUNO_VOICE05: 恨むなら恨め
MID_BRUNO_VOICE06: 興味はない
MID_BRUNO_VOICE07: 終わりだ
MID_BRUNO_VOICE08: 閉ざしてやる
MID_BRUNO_VOICE09: 敵わない…か……
MID_BRUNO_VOICE10: ふむ…
MID_BRUNO_VOICE18: ああ
MID_BRUNO_VOICE19: 出撃か
MID_BRUNO_VOICE20: …従おう
MID_BRUNO_VOICE21: ファイアーエムブレム
MID_BRUNO_VOICE22: 暗黒竜と光の剣
MID_BRUNO_VOICE23: 外伝
MID_BRUNO_VOICE24: 紋章の謎
MID_BRUNO_VOICE25: 聖戦の系譜
MID_BRUNO_VOICE26: トラキア７７６
MID_BRUNO_VOICE27: 封印の剣
MID_BRUNO_VOICE28: 烈火の剣
MID_BRUNO_VOICE29: 聖魔の光石
MID_BRUNO_VOICE30: 蒼炎の軌跡
MID_BRUNO_VOICE31: 暁の女神
MID_BRUNO_VOICE32: 新・暗黒竜と光の剣
MID_BRUNO_VOICE33: 新・紋章の謎
MID_BRUNO_VOICE34: 覚醒
MID_BRUNO_VOICE35: ｉｆ
MID_BRUNO_VOICE36: イベントが始まったぞ
MID_BRUNO_VOICE37: 大戦が始まっている
MID_BRUNO_VOICE38: 強敵が現れた
MID_BRUNO_VOICE39: 新しい英雄が現れた
MID_BRUNO_VOICE40: 少し待っていろ
MID_BRUNO_VOICE_BRAVE: ブレイヴ
MID_BRUNO_VOICE_HEROES: ヒーローズ
