[Heroes Archive] (OGUMA)


Heroes Message Name: Message


MID_OGUMA_HOME1: こんな日は……\nあの頃のことを思い出すな。\n剣闘士時代の、取るに足りぬ事だ…
MID_OGUMA_HOME2: 俺には三人の部下がいた。\nサジ、マジ、バーツ…\n三人とも、本物の戦士だ。
MID_OGUMA_HOME3: 休める時に体を休めておけ。\nいつどんな戦いが起きても\n動けるようにな。
MID_OGUMA_HOME4: 剣は使えるか？\n手合せがしたいなら、相手になろう。\nあまり加減はできんが…
MID_OGUMA_HOME5: 剣が錆びつかないよう、\n手入れをしている。\n昔から染みついた習慣だな…
MID_OGUMA_FRIEND: お前が$Nuだな。\n雇い主…$Nfから\n挨拶を頼まれた。
MID_OGUMA_LEVEL1: なるほどな…\n俺にはまだこんな力が…
MID_OGUMA_LEVEL2: 多少は\n剣の腕が上がったようだ。
MID_OGUMA_LEVEL3: 俺もまだまだだな…
MID_OGUMA_SKILL: 感謝する。\nこの恩は戦いで返そう。
MID_OGUMA_JOIN: 俺はオグマ。\nタリスの傭兵だ。\n俺でよければ、お前たちの力になろう。
MID_OGUMA_STRONGEST: お前たちと出会い、\n強さの形には\n様々なものがあると知った。$k$p血にまみれ勝利だけを求める、\n剣闘士としての俺の戦いにはない、\n平和を守るための強さ……$k$p$Nu、\nお前から教わったものだ。$k$p俺はもっと強くなろう。\nお前たちが求める平和のために、\nこの剣を振るうと約束しよう。
MID_OGUMA_VOICE01: はぁっ！
MID_OGUMA_VOICE02: うおおっ！
MID_OGUMA_VOICE03: うああっ！
MID_OGUMA_VOICE04: やる…な…
MID_OGUMA_VOICE05: どけ
MID_OGUMA_VOICE06: …悪く思うな
MID_OGUMA_VOICE07: 終わらせるぞ
MID_OGUMA_VOICE08: いくぞ
MID_OGUMA_VOICE09: もはや…これまでか…
MID_OGUMA_VOICE10: ふむ…
MID_OGUMA_VOICE11: どうした？
MID_OGUMA_VOICE12: 変わり者だな
MID_OGUMA_VOICE13: 口下手ですまんな…
MID_OGUMA_VOICE14: 受けた仕事は果たす。
MID_OGUMA_VOICE15: 俺は、戦いしかできん男だ…
MID_OGUMA_VOICE16: 次の戦いに備えねばな
MID_OGUMA_VOICE17: お前のためにも…俺は負けん
MID_OGUMA_VOICE18: ああ
MID_OGUMA_VOICE19: どうするか…
MID_OGUMA_VOICE20: 行くぞ
