[Heroes Archive] (MYRRH)


Heroes Message Name: Message


MID_MYRRH_HOME1: おとうさん…おにいちゃん…\nあいたいです…
MID_MYRRH_HOME2: 私の生まれた闇の樹海は深く、静かで、\nとても穏やかな場所でした。\nあの日がくるまでは…
MID_MYRRH_HOME3: $Nuさん、\n大丈夫ですか？いえ…なんだか、\nとても悲しそうに見えたものですから…
MID_MYRRH_HOME4: あの…お願いがあるんです。\n一緒に、お昼寝をしてくれませんか？\nひとりで眠るのが、少しさみしくて…
MID_MYRRH_HOME5: 空を見ていました。\nきれいな青い色…故郷の樹海の空まで\nずっと続いているのでしょうか。
MID_MYRRH_FRIEND: $Nfさんのお城から…\nごあいさつに参りました、ミルラです。\nあの…よろしくおねがいします。
MID_MYRRH_LEVEL1: あの…ほめてもらえますか？\n頭は…なでなくていいです…
MID_MYRRH_LEVEL2: もっと、いっぱいがんばります…
MID_MYRRH_LEVEL3: うぅん…\nなにか、変わったでしょうか…
MID_MYRRH_SKILL: この力は、人の？\n…それとも魔の…
MID_MYRRH_JOIN: 私はミルラ。闇の樹海からきました。\n…女性に年を聞くのは失礼だとエフラムは\n言っていました。…あなたは失礼な人です。
MID_MYRRH_STRONGEST: $Nuさんは、いつも\n私を心配してくれるんですね…\n私は…だいじょうぶですから…$k$p人が生まれ、笑い、泣き、\nいつか死んでいく…\n私は何百年もそれをただ、見てきました。$k$p私たち竜人族は、人でも魔でもあります。\nだからこそ、そのどちらにも交わることが\nできない…。昔は、それが悲しかった。$k$p今は、それが良かったと思えるんです。\n私はみんなの行く末を見届けて、\nみんなの思い出といつも一緒に生きていける。$k$p私、あなたのことが好きです。\nあなたが誰より頑張っている姿が好きです。\nずっとずっと、あなたを覚えていますね。
MID_MYRRH_VOICE01: えい
MID_MYRRH_VOICE02: それ
MID_MYRRH_VOICE03: きゃああっ！
MID_MYRRH_VOICE04: だめです…
MID_MYRRH_VOICE05: 私は竜です
MID_MYRRH_VOICE06: 人のために
MID_MYRRH_VOICE07: 守ります
MID_MYRRH_VOICE08: 負けないです
MID_MYRRH_VOICE09: ごめんなさい…もう…
MID_MYRRH_VOICE10: ふふ…
MID_MYRRH_VOICE11: ミルラです。まがまがしい気配を追いかけて、外に出ました…
MID_MYRRH_VOICE12: ひゃっ！？　…女性をびっくりさせるのは、失礼だと思います。
MID_MYRRH_VOICE13: この石は、大事なものです。なくさないようにします。
MID_MYRRH_VOICE14: 戦いでは…いい人も、倒さないといけないのですね…
MID_MYRRH_VOICE15: あなたが他の人といると…なんだか胸が苦しいです。
MID_MYRRH_VOICE16: もしかして…この気持ちが、恋…？
MID_MYRRH_VOICE17: 教えてください。私は、あなたに恋しているのでしょうか…？
MID_MYRRH_VOICE18: はい
MID_MYRRH_VOICE19: こっちですか？
MID_MYRRH_VOICE20: あっちです
