[Heroes Archive] (NACIEN)


Heroes Message Name: Message


MID_NACIEN_HOME1: なかなか良い城だね。\n強く、美しい…\nまるでこの私のようにね。
MID_NACIEN_HOME2: 上に登りつめるためなら…\nクックック…\nああ、なんでもやってやるさ…！
MID_NACIEN_HOME3: いつも私のために見回りご苦労。\n私への敬愛の証として受け取っておくよ。\n感謝したまえ。
MID_NACIEN_HOME4: くううっ…！\nどいつもこいつも\n私を認めようとしないクズどもがっ！
MID_NACIEN_HOME5: ……　はっ、失敬。\n訓練をしていたら、自分の技の見事さに\n思わず見惚れてしまったよ。
MID_NACIEN_FRIEND: キミが$Nuかい？\nクックック…私が挨拶にきてあげたよ。\nありがたく思いたまえ。
MID_NACIEN_LEVEL1: あははっ！\nこれが私の実力さぁ！！
MID_NACIEN_LEVEL2: クックック…当然さ…\nこのナーシェン様ならね。
MID_NACIEN_LEVEL3: くっ…そんなバカな！\nなにかの間違いだ！
MID_NACIEN_SKILL: フン、ようやく私の力を\n認める気になったかい…？
MID_NACIEN_JOIN: 我が名はナーシェン。\nベルン三竜将が一人さ！\nさあ、恐れ慄き跪くがいい！
MID_NACIEN_STRONGEST: な、なにぃ…！？\n私が自分に酔っている…！？\n自分のことしか考えていない、だと！？$k$pくっ…当然だろう。\n私は常に自分のために生きてきた。\nそうして、のし上がってきたんだ…！$k$pフッ…だがこうして面と向かって\n言ってくる者は初めてだ。\n面白い…$k$pキミがこの私にケンカを売ったこと…\n後悔させてやろう…！\nそして必ずキミは私に跪くことになる…$k$pそしたらキミを\n私がずうっと傍で可愛がってやろう…！\nふはははっ…！
MID_NACIEN_VOICE01: はぁっ！
MID_NACIEN_VOICE02: せぇやっ！
MID_NACIEN_VOICE03: うああっ！
MID_NACIEN_VOICE04: おのれ…
MID_NACIEN_VOICE05: クックック
MID_NACIEN_VOICE06: 思い知らせてやる…
MID_NACIEN_VOICE07: 許せんっ！
MID_NACIEN_VOICE08: 這いつくばれぇ！
MID_NACIEN_VOICE09: きさまらごときにぃっ！
MID_NACIEN_VOICE10: ククク…
MID_NACIEN_VOICE11: クックック…私に用かい？
MID_NACIEN_VOICE12: 私の美しさに魅入られたようだね
MID_NACIEN_VOICE13: 私の有能さは疑いようがない…
MID_NACIEN_VOICE14: 我ながら完璧な髪型だ…
MID_NACIEN_VOICE15: 私は強い…私は賢い…
MID_NACIEN_VOICE16: 私は美しい…私は正しい…\n誰よりも…誰よりもだっ！
MID_NACIEN_VOICE17: 強い者に従うのが、私の美学さ
MID_NACIEN_VOICE18: わかったよ
MID_NACIEN_VOICE19: 指示をもらうよ
MID_NACIEN_VOICE20: 見せつけてやろう
