[Heroes Archive] (Data_502_legend04)


Heroes Message Name: Message


MID_MISSION_M201805A_TITLE: ５月ミッションＡ
MID_MISSION_M201805A_A1: 赤属性で撃破
MID_MISSION_H_M201805A_A1: 赤属性の味方で、敵を撃破。
MID_MISSION_M201805A_A2: 飛行で撃破
MID_MISSION_H_M201805A_A2: 飛行の味方で、敵を撃破。
MID_MISSION_M201805A_A3: 青属性を撃破
MID_MISSION_H_M201805A_A3: 青属性の敵を撃破。
MID_MISSION_M201805A_A4: 騎馬を撃破
MID_MISSION_H_M201805A_A4: 騎馬の敵を撃破。
MID_MISSION_M201805A_A5: 闘技場で勝利
MID_MISSION_H_M201805A_A5: 闘技場で勝利。
MID_MISSION_M201805A_A6: 緑属性で、LV２０以上を撃破
MID_MISSION_H_M201805A_A6: 緑属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201805A_A7: 騎馬で、LV２０以上を撃破
MID_MISSION_H_M201805A_A7: 騎馬の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M201805A_A8: ＬＶ２０以上の赤属性を撃破
MID_MISSION_H_M201805A_A8: レベル２０以上の赤属性の敵を撃破。
MID_MISSION_M201805A_A9: ＬＶ２０以上の飛行を撃破
MID_MISSION_H_M201805A_A9: レベル２０以上の飛行の敵を撃破。
MID_MISSION_M201805A_A10: 闘技場・中級以上で勝利
MID_MISSION_H_M201805A_A10: 闘技場・中級以上で勝利。
MID_MISSION_M201805A_A11: 青属性で、LV３５以上を撃破
MID_MISSION_H_M201805A_A11: 青属性の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201805A_A12: 歩行で、LV３５以上を撃破
MID_MISSION_H_M201805A_A12: 歩行の味方で、\nレベル３５以上の敵を撃破。
MID_MISSION_M201805A_A13: ＬＶ３５以上の緑属性を撃破
MID_MISSION_H_M201805A_A13: レベル３５以上の緑属性の敵を撃破。
MID_MISSION_M201805A_A14: ＬＶ３５以上の歩行を撃破
MID_MISSION_H_M201805A_A14: レベル３５以上の歩行の敵を撃破。
MID_MISSION_M201805A_A15: 闘技場・上級で勝利
MID_MISSION_H_M201805A_A15: 闘技場・上級で勝利。
MID_MISSION_M201805B_TITLE: ５月ミッションＢ
MID_MISSION_M201805B_A1: 特殊：修練の塔・第１階層突破
MID_MISSION_H_M201805B_A1: 修練の塔・第１階層を\n４人全員生存でクリア。
MID_MISSION_M201805B_A2: 特殊：修練の塔・第２階層突破
MID_MISSION_H_M201805B_A2: 修練の塔・第２階層を\n４人全員生存でクリア。
